id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_kedalaman_kemiskinan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1.12,POIN,2018
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.86,POIN,2018
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1.34,POIN,2018
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.87,POIN,2018
5,32,JAWA BARAT,3205,KABUPATEN GARUT,1.49,POIN,2018
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1.19,POIN,2018
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1.18,POIN,2018
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1.73,POIN,2018
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,2.04,POIN,2018
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1.96,POIN,2018
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1.72,POIN,2018
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2.23,POIN,2018
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1.7,POIN,2018
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.87,POIN,2018
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1.21,POIN,2018
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.65,POIN,2018
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1.45,POIN,2018
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1.24,POIN,2018
19,32,JAWA BARAT,3271,KOTA BOGOR,0.77,POIN,2018
20,32,JAWA BARAT,3272,KOTA SUKABUMI,1.09,POIN,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,0.48,POIN,2018
22,32,JAWA BARAT,3274,KOTA CIREBON,0.99,POIN,2018
23,32,JAWA BARAT,3275,KOTA BEKASI,0.72,POIN,2018
24,32,JAWA BARAT,3276,KOTA DEPOK,0.31,POIN,2018
25,32,JAWA BARAT,3277,KOTA CIMAHI,0.84,POIN,2018
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1.52,POIN,2018
27,32,JAWA BARAT,3279,KOTA BANJAR,0.79,POIN,2018
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.83,POIN,2019
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.66,POIN,2019
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.74,POIN,2019
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1.04,POIN,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,0.87,POIN,2019
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.84,POIN,2019
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.76,POIN,2019
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1.24,POIN,2019
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,1.29,POIN,2019
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1.39,POIN,2019
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1.05,POIN,2019
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1.66,POIN,2019
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,1.39,POIN,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1.24,POIN,2019
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1.06,POIN,2019
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.6,POIN,2019
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1.54,POIN,2019
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.9,POIN,2019
46,32,JAWA BARAT,3271,KOTA BOGOR,0.72,POIN,2019
47,32,JAWA BARAT,3272,KOTA SUKABUMI,1.08,POIN,2019
48,32,JAWA BARAT,3273,KOTA BANDUNG,0.53,POIN,2019
49,32,JAWA BARAT,3274,KOTA CIREBON,1.23,POIN,2019
50,32,JAWA BARAT,3275,KOTA BEKASI,0.47,POIN,2019
51,32,JAWA BARAT,3276,KOTA DEPOK,0.24,POIN,2019
52,32,JAWA BARAT,3277,KOTA CIMAHI,0.6,POIN,2019
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1.98,POIN,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,0.57,POIN,2019
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.83,POIN,2020
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.8,POIN,2020
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1.38,POIN,2020
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.92,POIN,2020
59,32,JAWA BARAT,3205,KABUPATEN GARUT,0.97,POIN,2020
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.83,POIN,2020
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.92,POIN,2020
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2.41,POIN,2020
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,1.3,POIN,2020
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1.41,POIN,2020
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1.72,POIN,2020
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2.18,POIN,2020
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,1.29,POIN,2020
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1.04,POIN,2020
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1.28,POIN,2020
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.72,POIN,2020
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1.4,POIN,2020
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1.32,POIN,2020
73,32,JAWA BARAT,3271,KOTA BOGOR,1.08,POIN,2020
74,32,JAWA BARAT,3272,KOTA SUKABUMI,1.17,POIN,2020
75,32,JAWA BARAT,3273,KOTA BANDUNG,0.61,POIN,2020
76,32,JAWA BARAT,3274,KOTA CIREBON,1.68,POIN,2020
77,32,JAWA BARAT,3275,KOTA BEKASI,0.6,POIN,2020
78,32,JAWA BARAT,3276,KOTA DEPOK,0.29,POIN,2020
79,32,JAWA BARAT,3277,KOTA CIMAHI,0.75,POIN,2020
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1.75,POIN,2020
81,32,JAWA BARAT,3279,KOTA BANJAR,0.7,POIN,2020
